N回目,ε,α,γ,学習回数,最短経路
---------------------------0.9,0.9,0.9-------------------------------
8,0.90,0.90,0.90,18,16
5,0.90,0.90,0.90,20,16
7,0.90,0.90,0.90,32,16
4,0.90,0.90,0.90,49,16
6,0.90,0.90,0.90,17,16
1,0.90,0.90,0.90,3812,16
3,0.90,0.90,0.90,81888,16
12,0.90,0.90,0.90,22,16
10,0.90,0.90,0.90,36,16
14,0.90,0.90,0.90,16,16
13,0.90,0.90,0.90,21,16
15,0.90,0.90,0.90,16,16
17,0.90,0.90,0.90,25,16
16,0.90,0.90,0.90,22,16
9,0.90,0.90,0.90,179358,16
18,0.90,0.90,0.90,13,16
19,0.90,0.90,0.90,21,16
20,0.90,0.90,0.90,48,16
22,0.90,0.90,0.90,24,16
21,0.90,0.90,0.90,28,16
23,0.90,0.90,0.90,23,16
24,0.90,0.90,0.90,13,16
25,0.90,0.90,0.90,17,16
26,0.90,0.90,0.90,24,16
27,0.90,0.90,0.90,27,16
28,0.90,0.90,0.90,10,16
29,0.90,0.90,0.90,14,16
31,0.90,0.90,0.90,14,16
30,0.90,0.90,0.90,15,16
32,0.90,0.90,0.90,9,16
33,0.90,0.90,0.90,273,16
34,0.90,0.90,0.90,16,16
35,0.90,0.90,0.90,22,16
36,0.90,0.90,0.90,24,16
37,0.90,0.90,0.90,52,16
38,0.90,0.90,0.90,17,16
39,0.90,0.90,0.90,4564,16
40,0.90,0.90,0.90,2925,16
41,0.90,0.90,0.90,1722,16
42,0.90,0.90,0.90,4,16
2,0.90,0.90,0.90,24,18
43,0.90,0.90,0.90,19,16
45,0.90,0.90,0.90,258,16
44,0.90,0.90,0.90,22,16
46,0.90,0.90,0.90,22,16
47,0.90,0.90,0.90,19,16
48,0.90,0.90,0.90,18,16
50,0.90,0.90,0.90,1072,16
49,0.90,0.90,0.90,13,16
52,0.90,0.90,0.90,14,16
54,0.90,0.90,0.90,135,16
53,0.90,0.90,0.90,28,16
11,0.90,0.90,0.90,18,18
55,0.90,0.90,0.90,16,16
57,0.90,0.90,0.90,18,16
56,0.90,0.90,0.90,3577,16
58,0.90,0.90,0.90,23,16
59,0.90,0.90,0.90,16,16
60,0.90,0.90,0.90,34,16
61,0.90,0.90,0.90,29,16
63,0.90,0.90,0.90,186,16
65,0.90,0.90,0.90,13,16
66,0.90,0.90,0.90,24,16
64,0.90,0.90,0.90,29,16
67,0.90,0.90,0.90,26,16
68,0.90,0.90,0.90,18,16
69,0.90,0.90,0.90,15929,16
70,0.90,0.90,0.90,30,16
73,0.90,0.90,0.90,17,16
71,0.90,0.90,0.90,8017,16
74,0.90,0.90,0.90,21,16
75,0.90,0.90,0.90,20,16
77,0.90,0.90,0.90,24,16
76,0.90,0.90,0.90,24,16
78,0.90,0.90,0.90,601,16
79,0.90,0.90,0.90,22,16
82,0.90,0.90,0.90,24,16
81,0.90,0.90,0.90,54,16
83,0.90,0.90,0.90,30,16
80,0.90,0.90,0.90,29931,16
84,0.90,0.90,0.90,19,16
85,0.90,0.90,0.90,88,16
87,0.90,0.90,0.90,24,16
86,0.90,0.90,0.90,22,16
88,0.90,0.90,0.90,42244,16
51,0.90,0.90,0.90,19,18
89,0.90,0.90,0.90,214,16
90,0.90,0.90,0.90,26,16
91,0.90,0.90,0.90,27,16
92,0.90,0.90,0.90,7345,16
94,0.90,0.90,0.90,5,16
95,0.90,0.90,0.90,10,16
96,0.90,0.90,0.90,79,16
62,0.90,0.90,0.90,12,18
97,0.90,0.90,0.90,21,16
98,0.90,0.90,0.90,15,16
100,0.90,0.90,0.90,16,16
99,0.90,0.90,0.90,35,16
72,0.90,0.90,0.90,19,18
93,0.90,0.90,0.90,4043,
6,0.90,0.90,0.90,30,16
4,0.90,0.90,0.90,215149,16
7,0.90,0.90,0.90,31900,16
2,0.90,0.90,0.90,4743,16
8,0.90,0.90,0.90,20,16
1,0.90,0.90,0.90,22,16
5,0.90,0.90,0.90,163,16
3,0.90,0.90,0.90,11,16
10,0.90,0.90,0.90,18,16
9,0.90,0.90,0.90,3058,16
11,0.90,0.90,0.90,20,16
13,0.90,0.90,0.90,20,16
12,0.90,0.90,0.90,15,16
16,0.90,0.90,0.90,25,16
14,0.90,0.90,0.90,164,16
15,0.90,0.90,0.90,19,16
18,0.90,0.90,0.90,16,16
17,0.90,0.90,0.90,7647,16
19,0.90,0.90,0.90,55543,16
21,0.90,0.90,0.90,90,16
20,0.90,0.90,0.90,17,16
22,0.90,0.90,0.90,21,16
23,0.90,0.90,0.90,23,16
24,0.90,0.90,0.90,32,16
27,0.90,0.90,0.90,4153,16
25,0.90,0.90,0.90,25,16
28,0.90,0.90,0.90,20,16
26,0.90,0.90,0.90,30,17
31,0.90,0.90,0.90,13,16
30,0.90,0.90,0.90,26,16
29,0.90,0.90,0.90,4214,16
32,0.90,0.90,0.90,18,16
33,0.90,0.90,0.90,206,16
34,0.90,0.90,0.90,22,16
36,0.90,0.90,0.90,23,16
37,0.90,0.90,0.90,15,16
35,0.90,0.90,0.90,21,16
39,0.90,0.90,0.90,21,16
38,0.90,0.90,0.90,23,18
40,0.90,0.90,0.90,34,16
41,0.90,0.90,0.90,18,16
42,0.90,0.90,0.90,16,16
43,0.90,0.90,0.90,25,16
45,0.90,0.90,0.90,22,16
44,0.90,0.90,0.90,10,16
46,0.90,0.90,0.90,28,16
47,0.90,0.90,0.90,22,16
48,0.90,0.90,0.90,24,16
49,0.90,0.90,0.90,27970,16
50,0.90,0.90,0.90,15,16
51,0.90,0.90,0.90,23,16
53,0.90,0.90,0.90,23,16
52,0.90,0.90,0.90,14,16
54,0.90,0.90,0.90,21,16
55,0.90,0.90,0.90,20,16
56,0.90,0.90,0.90,31,16
57,0.90,0.90,0.90,22,16
58,0.90,0.90,0.90,16,16
59,0.90,0.90,0.90,17,16
60,0.90,0.90,0.90,25,16
61,0.90,0.90,0.90,1492,16
62,0.90,0.90,0.90,1993,16
63,0.90,0.90,0.90,14,16
64,0.90,0.90,0.90,36,16
66,0.90,0.90,0.90,29,16
65,0.90,0.90,0.90,13,18
67,0.90,0.90,0.90,19,16
68,0.90,0.90,0.90,19,18
70,0.90,0.90,0.90,18,16
69,0.90,0.90,0.90,12,18
71,0.90,0.90,0.90,23,18
72,0.90,0.90,0.90,11,18
73,0.90,0.90,0.90,20,16
74,0.90,0.90,0.90,22,16
75,0.90,0.90,0.90,24,16
76,0.90,0.90,0.90,17,16
77,0.90,0.90,0.90,554,16
78,0.90,0.90,0.90,11,16
79,0.90,0.90,0.90,18,16
80,0.90,0.90,0.90,14,16
81,0.90,0.90,0.90,26,16
82,0.90,0.90,0.90,13,16
83,0.90,0.90,0.90,15,16
84,0.90,0.90,0.90,547,16
85,0.90,0.90,0.90,30,16
86,0.90,0.90,0.90,5178,16
87,0.90,0.90,0.90,20,16
88,0.90,0.90,0.90,21,16
89,0.90,0.90,0.90,156221,16
91,0.90,0.90,0.90,22,16
90,0.90,0.90,0.90,113,16
92,0.90,0.90,0.90,23,16
93,0.90,0.90,0.90,105716,16
94,0.90,0.90,0.90,23,16
95,0.90,0.90,0.90,25,16
96,0.90,0.90,0.90,26,16
97,0.90,0.90,0.90,14370,16
98,0.90,0.90,0.90,86,16
99,0.90,0.90,0.90,20,16
100,0.90,0.90,0.90,18,16
------------------------
1,0.80,0.90,0.90,2389,16
3,0.80,0.90,0.90,39,16
4,0.80,0.90,0.90,28,16
2,0.80,0.90,0.90,30,16
7,0.80,0.90,0.90,47,16
8,0.80,0.90,0.90,7902,16
6,0.80,0.90,0.90,10,16
12,0.80,0.90,0.90,26,16
9,0.80,0.90,0.90,1622,16
10,0.80,0.90,0.90,26,16
13,0.80,0.90,0.90,27,16
11,0.80,0.90,0.90,56,16
14,0.80,0.90,0.90,8267,16
15,0.80,0.90,0.90,5894,16
17,0.80,0.90,0.90,18,16
18,0.80,0.90,0.90,434,16
16,0.80,0.90,0.90,72,16
20,0.80,0.90,0.90,42,16
19,0.80,0.90,0.90,54,16
24,0.80,0.90,0.90,28,16
21,0.80,0.90,0.90,111,16
26,0.80,0.90,0.90,66,16
25,0.80,0.90,0.90,25,16
23,0.80,0.90,0.90,28,16
27,0.80,0.90,0.90,38,16
30,0.80,0.90,0.90,56,16
29,0.80,0.90,0.90,164,16
28,0.80,0.90,0.90,1636,16
33,0.80,0.90,0.90,15,16
32,0.80,0.90,0.90,927,16
36,0.80,0.90,0.90,38,16
35,0.80,0.90,0.90,15008,16
37,0.80,0.90,0.90,613,16
38,0.80,0.90,0.90,49,16
34,0.80,0.90,0.90,110,16
40,0.80,0.90,0.90,560,16
39,0.80,0.90,0.90,10412,16
43,0.80,0.90,0.90,58,16
42,0.80,0.90,0.90,23,16
41,0.80,0.90,0.90,22,16
45,0.80,0.90,0.90,21,16
48,0.80,0.90,0.90,29,16
47,0.80,0.90,0.90,20,16
44,0.80,0.90,0.90,15,16
46,0.80,0.90,0.90,24,16
49,0.80,0.90,0.90,23,16
50,0.80,0.90,0.90,1456,16
53,0.80,0.90,0.90,56,16
52,0.80,0.90,0.90,110,16
51,0.80,0.90,0.90,23,16
54,0.80,0.90,0.90,20,16
55,0.80,0.90,0.90,31,16
57,0.80,0.90,0.90,27,16
56,0.80,0.90,0.90,140,16
58,0.80,0.90,0.90,37,16
62,0.80,0.90,0.90,21,16
