ε,α,γ,学習回数,ステップ数
0.10,0.10,0.10,3445,22
0.10,0.10,0.30,6046,22
0.10,0.10,0.50,487,22
0.10,0.10,0.70,1111,22
0.10,0.10,0.90,5976,22
0.10,0.30,0.10,6740,22
0.10,0.30,0.30,2149,22
0.10,0.30,0.50,5505,22
0.10,0.30,0.70,3129,22
0.10,0.30,0.90,6266,22
0.10,0.50,0.10,6101,22
0.10,0.50,0.30,1080,22
0.10,0.50,0.50,1557,22
0.10,0.50,0.70,377,22
0.10,0.50,0.90,776,22
0.10,0.70,0.10,1236,22
0.10,0.70,0.30,6111,22
0.10,0.70,0.50,3217,22
0.10,0.70,0.70,1548,22
0.10,0.70,0.90,1057,22
0.10,0.90,0.10,5213,22
0.10,0.90,0.30,1081,22
0.10,0.90,0.50,2020,22
0.10,0.90,0.70,3423,22
0.10,0.90,0.90,964,22
0.30,0.10,0.10,136,22
0.30,0.10,0.30,78,22
0.30,0.10,0.50,121,22
0.30,0.10,0.70,110,22
0.30,0.10,0.90,117,22
0.30,0.30,0.10,20,22
0.30,0.30,0.30,34,22
0.30,0.30,0.50,77,22
0.30,0.30,0.70,42,22
0.30,0.30,0.90,22,22
0.30,0.50,0.10,86,22
0.30,0.50,0.30,19,22
0.30,0.50,0.50,159,22
0.30,0.50,0.70,57,22
0.30,0.50,0.90,12,22
0.30,0.70,0.10,127,22
0.30,0.70,0.30,19,22
0.30,0.70,0.50,17,22
0.30,0.70,0.70,31,22
0.30,0.70,0.90,23,22
0.30,0.90,0.10,57,22
0.30,0.90,0.30,55,22
0.30,0.90,0.50,21,22
0.30,0.90,0.70,168,22
0.30,0.90,0.90,21,22
0.50,0.10,0.10,78,22
0.50,0.10,0.30,58,22
0.50,0.10,0.50,20,22
0.50,0.10,0.70,74,22
0.50,0.10,0.90,43,22
0.50,0.30,0.10,18,22
0.50,0.30,0.30,26,22
0.50,0.30,0.50,20,22
0.50,0.30,0.70,9,22
0.50,0.30,0.90,19,22
0.50,0.50,0.10,20,22
0.50,0.50,0.30,15,22
0.50,0.50,0.50,18,22
0.50,0.50,0.70,14,22
0.50,0.50,0.90,13,22
0.50,0.70,0.10,14,22
0.50,0.70,0.30,15,22
0.50,0.70,0.50,15,22
0.50,0.70,0.70,14,22
0.50,0.70,0.90,6,22
0.50,0.90,0.10,16,22
0.50,0.90,0.30,45,22
0.50,0.90,0.50,39,22
0.50,0.90,0.70,7,22
0.50,0.90,0.90,14,22
0.70,0.10,0.10,105,22
0.70,0.10,0.30,47,22
0.70,0.10,0.50,20,22
0.70,0.10,0.70,42,22
0.70,0.10,0.90,2,22
0.70,0.30,0.10,31,22
0.70,0.30,0.30,18,22
0.70,0.30,0.50,19,22
0.70,0.30,0.70,18,22
0.70,0.30,0.90,20,22
0.70,0.50,0.10,35,22
0.70,0.50,0.30,14,22
0.70,0.50,0.50,7,22
0.70,0.50,0.70,9,22
0.70,0.50,0.90,15,22
0.70,0.70,0.10,20,22
0.70,0.70,0.30,10,22
0.70,0.70,0.50,2,22
0.70,0.70,0.70,15,22
0.70,0.70,0.90,13,22
0.70,0.90,0.10,18,22
0.70,0.90,0.30,11,22
0.70,0.90,0.50,10,22
0.70,0.90,0.70,5,22
0.70,0.90,0.90,4,22
0.90,0.10,0.10,57,22
0.90,0.10,0.30,37,22
0.90,0.10,0.50,28,22
0.90,0.10,0.70,17,22
0.90,0.10,0.90,50,22
0.90,0.30,0.10,19,22
0.90,0.30,0.30,34,22
0.90,0.30,0.50,16,22
0.90,0.30,0.70,12,22
0.90,0.30,0.90,17,22
0.90,0.50,0.10,19,22
0.90,0.50,0.30,6,22
0.90,0.50,0.50,9,22
0.90,0.50,0.70,6,22
0.90,0.50,0.90,3,22
0.90,0.70,0.10,9,22
0.90,0.70,0.30,7,22
0.90,0.70,0.50,8,22
0.90,0.70,0.70,3,22
0.90,0.70,0.90,4,22
0.90,0.90,0.10,10,22
0.90,0.90,0.30,6,22
0.90,0.90,0.50,9,22
0.90,0.90,0.70,8,22
0.90,0.90,0.90,11,22
﻿ε,α,γ,学習回数,ステップ数
0.10,0.10,0.10,691263,14
0.10,0.10,0.30,73866,16
0.10,0.10,0.50,43274,15
0.10,0.10,0.70,769175,15
0.10,0.10,0.90,239919,15
0.10,0.30,0.10,382572,16
0.10,0.30,0.30,336206,14
0.10,0.30,0.50,82711,15
0.10,0.30,0.70,778759,15
0.10,0.30,0.90,561554,15
0.10,0.50,0.10,207748,15
0.10,0.50,0.30,657698,14
0.10,0.50,0.50,174616,16
0.10,0.50,0.70,63192,16
0.10,0.50,0.90,15868,15
0.10,0.70,0.10,795648,14
0.10,0.70,0.30,255134,14
0.10,0.70,0.50,776409,15
0.10,0.70,0.70,188740,16
0.10,0.70,0.90,404872,15
0.10,0.90,0.10,603143,15
0.10,0.90,0.30,526424,16
0.10,0.90,0.50,291852,14
0.10,0.90,0.70,688973,15
0.10,0.90,0.90,991941,15
0.30,0.10,0.10,105250,14
0.30,0.10,0.30,25278,14
0.30,0.10,0.50,17728,14
0.30,0.10,0.70,47097,14
0.30,0.10,0.90,6781,14
0.30,0.30,0.10,705,14
0.30,0.30,0.30,21167,14
0.30,0.30,0.50,10455,14
0.30,0.30,0.70,17578,14
0.30,0.30,0.90,40862,14
0.30,0.50,0.10,35355,14
0.30,0.50,0.30,38808,14
0.30,0.50,0.50,20638,14
0.30,0.50,0.70,1189,14
0.30,0.50,0.90,69466,14
0.30,0.70,0.10,60711,14
0.30,0.70,0.30,8905,14
0.30,0.70,0.50,1607,14
0.30,0.70,0.70,60089,14
0.30,0.70,0.90,21463,14
0.30,0.90,0.10,12003,14
0.30,0.90,0.30,8848,14
0.30,0.90,0.50,4610,14
0.30,0.90,0.70,61196,14
0.30,0.90,0.90,40256,14
0.50,0.10,0.10,1775,14
0.50,0.10,0.30,1239,14
0.50,0.10,0.50,101,14
0.50,0.10,0.70,277,14
0.50,0.10,0.90,2236,14
0.50,0.30,0.10,424,14
0.50,0.30,0.30,213,14
0.50,0.30,0.50,235,14
0.50,0.30,0.70,701,14
0.50,0.30,0.90,280,14
0.50,0.50,0.10,343,14
0.50,0.50,0.30,264,14
0.50,0.50,0.50,76,14
0.50,0.50,0.70,1069,14
0.50,0.50,0.90,614,14
0.50,0.70,0.10,72,14
0.50,0.70,0.30,188,14
0.50,0.70,0.50,264,14
0.50,0.70,0.70,3109,14
0.50,0.70,0.90,92,14
0.50,0.90,0.10,850,14
0.50,0.90,0.30,546,14
